id,label,attribute,attributeNum
1,特效,characteristic,0
2,剧情,characteristic,0
3,人物,characteristic,0
4,喜剧,characteristic,0
5,导演,characteristic,0
6,演员,characteristic,0
7,演技,characteristic,0
8,有笑点，故事情节不错，挺用心的，值得票钱，也学到一些文化知识，适合全家大小看。成龙大哥的打戏毋容置疑，李治廷的演技和打戏不错，张艺兴呆萌呆萌的演技并不尴尬，母其弥雅还有两位印度女演员挺漂亮的。连电影都没看过的键盘侠不要只会黑。在海外看粤语版的，台词稍微有些尴尬,comment,1
41,重现《飞鹰计划》时代的风采，一代宗师啊，华语演员里成龙大哥最有国际范。,comment,1
43,7分。飞鹰计划+神话2~竟然出乎意料还不错，比之前十二生肖之类的好太多了。唐季礼应该也是知道观众想看什么，所以不断甩包袱，在快节奏里让观众乐一乐，这其实也就够了。成龙的确适合这种动作喜剧，尽管身体原因已经没太多危险动作了，但各种喜剧哏依然让本片成为春节期间全家欢的首选。,comment,1
46,挺好的  很欢乐~女演员们都很漂亮  打戏也不错  追车那段挺刺激的感觉 效果不错,comment,1
47,笑点很足，适合一家老小。成式幽默～虽然剧情很跳，结尾也很无语，但这绝对是今年贺岁档最好看的电影了…………………,comment,1
48,最后的歌舞一出来，忽然就对前面的剧情硬伤和解了…,comment,1
50,这是一部迪拜的炫富片，印度的旅游广告片，以及我朝一带一路的政策宣传片。最近看了两部成龙的新片，成龙还在向大家展示自己不服老的态度，在这点上，成龙是值得尊敬的。影片剧情虽然有些夸张，但作为贺岁爆米花电影，开心热闹才最重要。印度那个女演员真的是很漂漂的说。。。,comment,1
53,"可能如果不是《铁道飞虎》，我对《功夫瑜伽》并不会有过多的关注和兴趣。也不算差，很成龙，很适合贺岁片。
丁晟和唐季礼真的是风格完全不同的两位导演，所以这两部都是成龙主演的影片，会给人完全不一样的感受。


",comment,1
55,给五星。对成龙大叔路转粉，虽然看他打戏已经从感叹到了心疼的阶段。剧情饱满，故事完整。最后唐导不忘印度电影传统，歌舞结尾。另外，真诚虔诚是对所有伪善和邪恶最好的反击。,comment,1
63,1.开场天竺无双加分；2.“一带一路”必须积极响应；3.曾志伟专业跑龙套；4.李力宏身手不错；4.宝藏一定要上交国家；5.张艺兴演技尴尬，可有可无；7.母狼都喜欢小鲜肉；8.印度人民不愧为开挂民族；9.Jackie教授的政治大讲堂；10.不如跳舞，夺宝不如跳舞，打架不如跳舞，全世界都™一起跳舞！,comment,1
64,比想象中好看，过年看这种热热闹闹的动作喜剧最合适了，飙车戏经费也是烧钱啊，票价值了，李治廷文戏真不行，打戏不错，张艺兴卖萌加舞蹈担当，成龙大叔一把年纪了真不容易，印度美女的小蛮腰美极了。瑜伽就是个噱头，后面和瑜伽完全没关系了，就是个中印混血版的夺宝奇兵。过年不能出去旅游的就跟着成,comment,1
65,虽然不如成龙以前的一些经典作品，但也不是那些无脑黑子说的那么不堪，整部电影节凑欢快，有搞笑，有动作戏，都是很成龙的风格，开头我还看到了神话中玉漱公主的画像，结尾大哥带领一众演员跳舞很有意思啊，这是一部适合全家观看老少皆宜的贺岁片。,comment,1
66,合格的贺岁全家欢成龙晚期功夫观光片。特效+笑果都还不错，当然不要指望还能看到当年的成龙片标志性搏命动作，也不要指望片尾的NG镜头。毕竟，这是60多岁的成龙。,comment,1
81,三星半，《功夫瑜伽》可能是成龙这两年最好看的电影吧，适合一家人看。没有什么特别的意外的地方，标准的成龙动作喜剧，只是成龙不再负责高难动作。虽然是复制自己，但和黄金搭档唐季礼的合作还是有火花的。成龙真是一颗红心向太阳，探险都不忘一带一路。,comment,1
82,功夫喜剧 成龙用心了 辛苦了 最后才出现印度歌舞元素,comment,1
86,还是那个熟悉的成龙！讲道理，虽然片子距离一部优秀的动作喜剧在剧情精彩程度上还有提升空间，和大哥以前的经典电影比也有遗憾，但放在今年贺岁档，挑一部适合全家老少看的电影请首选功夫瑜伽！对得起票价和你手中的爆米花！,comment,1
98,就是喜剧,comment,1
104,好欢乐的成氏贺岁片，比春晚好太多！虽然一切都是似曾相识，但铁打的成龙，流水的配角，一把年纪能有如此水准，实属不易！这片拿到国际上都不丢人，全世界人民都看得懂！印象中也是最好的一次3D观影体验，演员从背景里呼之欲出！,comment,1
