source,target
8,3
12,5
13,4
14,3
23,5
24,4
28,4
28,5
28,6
32,5
40,2
40,4
40,5
40,6
40,7
41,6
45,2
49,5
49,6
52,5
64,2
68,5
70,5
71,6
74,5
74,6
78,2
78,4
78,5
79,3
87,5
87,6
92,4
94,4
94,5
97,4
97,5
99,5
100,6
115,2
115,4
121,5
134,4
140,5
142,4
142,5
142,6
160,6
164,4
165,4
165,5
166,5
170,5
171,5
174,3
174,7
175,3
175,5
176,2
176,4
181,4
181,5
190,2
194,3
194,5
203,5
203,7
205,5
208,4
209,5
214,5
223,4
223,5
223,6
227,3
227,4
227,5
230,5
237,3
237,4
237,5
241,4
243,5
255,4
255,5
258,4
259,4
264,7
273,4
273,5
273,6
278,7
280,4
280,5
289,2
289,4
293,2
293,5
296,2
297,5
305,5
312,2
313,5
318,4
326,5
331,5
331,7
333,5
341,2
341,4
344,5
355,5
366,5
379,5
382,5
382,6
384,4
384,7
386,7
387,5
388,6
389,4
393,2
393,5
395,2
395,3
395,4
395,6
396,2
399,3
399,6
402,2
403,5
405,2
405,3
405,5
410,5
410,7
412,3
415,4
416,2
418,5
419,5
422,4
422,5
422,6
423,2
425,2
425,4
425,5
430,2
437,4
437,7
439,6
446,4
446,5
449,5
450,4
452,4
454,2
454,4
455,4
461,4
461,5
466,2
471,5
472,5
475,5
482,5
488,4
488,5
499,2
499,6
500,4
500,7
503,4
504,4
505,4
505,5
507,4
507,5
512,5
512,6
514,4
514,5
525,4
526,2
530,2
535,2
541,6
544,4
545,6
552,7
554,5
562,5
563,6
565,4
567,4
568,4
568,5
568,6
568,7
574,4
575,5
576,4
579,5
579,7
583,2
583,4
583,6
588,4
589,4
590,3
594,2
596,4
602,3
602,4
604,5
606,2
608,3
609,5
623,3
625,5
635,7
638,4
639,4
642,4
643,2
643,3
651,4
656,5
658,2
660,7
665,2
666,4
667,4
668,4
671,3
671,5
672,4
676,5
677,4
677,6
683,4
687,5
691,2
691,4
692,5
694,2
695,2
699,3
699,5
700,4
700,6
701,5
705,5
715,5
716,4
719,2
719,4
719,6
726,6
726,7
729,4
731,4
731,5
734,2
734,4
736,3
736,4
738,4
738,5
743,5
743,6
744,4
746,2
748,4
749,3
749,4
754,2
754,3
754,4
761,2
764,5
767,6
773,4
777,4
777,7
780,4
782,5
784,5
785,5
785,7
786,5
786,6
788,5
792,6
797,5
799,4
799,6
801,2
801,7
809,6
825,5
825,7
826,5
827,5
831,4
836,5
839,4
839,5
841,5
842,5
843,4
845,4
852,4
852,5
852,6
853,5
853,7
854,2
860,5
869,5
875,5
883,2
883,4
884,4
888,2
901,4
915,4
917,5
917,6
920,7
921,2
921,7
927,3
928,4
928,5
928,7
929,4
929,6
931,4
933,4
936,4
936,5
936,6
939,5
940,2
943,4
948,4
948,6
949,2
949,4
951,7
952,2
960,2
966,2
968,2
968,5
968,6
974,2
975,6
981,3
981,4
981,5
985,7
989,4
994,3
994,6
994,7
997,5
1001,3
1008,4
1008,5
1014,5
1018,3
1019,5
1021,4
1022,5
1022,6
1023,4
1024,4
1026,4
1030,4
1032,4
1035,5
1036,4
1038,4
1038,6
1039,2
1041,4
1042,4
1042,5
1054,3
1054,5
1056,2
1056,6
1056,7
1059,2
1059,7
1062,6
1067,5
1069,4
1069,5
1070,5
1072,5
1077,5
1079,2
1079,4
1079,6
1082,5
1084,4
1085,4
1086,5
1088,7
1089,3
1092,4
1095,4
1096,6
1102,4
1102,6
1103,2
1107,7
1110,2
1115,2
1116,2
1119,4
1121,1
1126,2
1126,4
1126,5
1129,2
1132,2
1135,4
1146,2
1146,5
1147,1
1148,4
1150,4
1156,1
1158,5
1162,4
1165,5
1171,5
1172,2
1179,1
1183,3
1183,4
1186,5
1188,4
1190,2
1190,5
1191,4
1192,5
1197,4
1200,5
1201,4
1201,5
1201,7
1203,5
1204,2
1204,3
1206,5
1210,5
1214,2
1221,6
1224,4
1224,5
1225,4
1226,5
1232,4
1235,4
1237,6
1241,5
1245,5
1248,2
1248,5
1250,3
1251,2
1253,4
1254,4
1257,4
1264,4
1266,3
1273,3
1288,2
1294,6
1298,6
1304,4
1304,7
1306,2
1306,3
1306,4
1310,7
1315,6
1316,2
1316,3
1316,4
1316,6
1320,3
1324,6
1329,7
1331,2
1331,5
1335,2
1336,4
1338,2
1338,5
1350,3
1350,5
1352,5
1354,5
1358,4
1358,6
1367,5
1368,6
1369,3
1373,2
1376,2
1380,3
1380,4
1383,4
1390,2
1391,7
1392,5
1393,2
1393,4
1393,6
1393,7
1398,2
1402,6
1404,6
1405,4
1408,7
1413,2
1415,4
1425,4
1425,6
1430,2
1430,3
1433,5
1433,6
1437,4
1439,3
1439,5
1442,2
1442,4
1444,4
1444,6
1446,3
1446,4
1446,5
1451,2
1464,5
1467,5
1473,5
1476,5
1479,6
1481,3
1481,7
1484,4
1490,2
1502,5
1503,2
1503,4
1509,6
1512,6
1513,3
1517,3
1517,4
1521,4
1522,2
1522,3
1525,2
1528,4
1528,7
1530,2
1530,6
1530,7
1533,5
1534,4
1535,3
1535,7
1536,4
1537,6
1541,4
1544,6
1546,4
1546,6
1547,1
1548,3
1549,2
1550,4
1557,3
1558,4
1559,1
1559,4
1561,3
1561,6
1564,2
1568,2
1572,2
1577,2
1577,7
1582,7
1583,7
1584,6
1584,7
1586,5
1588,2
1588,4
1589,4
1594,5
1600,6
1602,6
1605,2
1605,3
1608,2
1608,4
1615,5
1618,2
1618,6
1620,2
1623,2
1624,4
1624,6
1624,7
1628,3
1628,6
1632,3
1634,6
1636,5
1642,5
1642,6
1645,4
1648,6
1649,4
1653,4
1653,6
1658,2
1663,7
1664,2
1664,3
1664,6
1668,3
1671,2
1672,6
1672,7
1673,4
1677,2
1682,5
1691,2
1698,4
1699,2
1703,6
1703,7
1705,5
1706,4
1707,5
1707,6
1708,2
1708,5
1710,7
1713,4
1718,4
1719,6
1720,2
1722,2
1723,4
1726,6
1727,4
1727,6
1727,7
1728,5
1729,2
1734,6
1738,3
1741,7
1742,6
1746,2
1746,5
1754,3
1754,6
1754,7
1756,2
1757,2
1759,2
1759,5
1762,1
1762,2
1764,5
1765,6
1765,7
1767,4
1768,2
1768,6
1776,7
1780,2
1780,5
1781,2
1781,4
1781,5
1785,1
1786,3
1786,6
1787,6
1791,2
1796,5
1801,6
1806,6
1806,7
1814,2
1814,7
1819,2
1819,4
1819,5
1819,6
1825,6
1826,6
1829,7
1831,4
1838,7
1842,5
1847,4
1852,4
1852,6
1853,4
1853,6
1857,2
1857,4
1857,6
1862,2
1863,2
1863,6
1869,6
1871,2
1871,6
1872,4
1873,3
1874,4
1874,7
1877,6
1878,2
1879,7
1886,6
1889,4
1903,2
1904,2
1905,4
1911,2
1911,7
1912,4
1912,5
1912,6
1923,7
1926,4
1926,6
1926,7
1930,4
1932,4
1933,6
1933,7
1936,6
1937,3
1944,7
1947,2
1947,4
1950,5
1952,3
1953,6
1964,4
1965,4
1968,7
1969,7
1970,6
1970,7
1975,6
1978,6
1980,5
1984,5
1984,6
1992,6
1992,7
1993,6
1993,7
1994,5
1997,7
1999,2
2001,4
2008,2
2016,3
2016,4
2016,6
2017,2
2017,6
2022,6
2022,7
2024,6
2028,6
2029,5
2030,6
2031,4
2039,2
2039,3
2039,4
2040,4
2043,3
2043,4
2052,4
2054,4
2055,2
2055,6
2055,7
