source,target
8,2
8,7
13,6
14,6
14,7
15,5
17,3
17,5
17,6
18,6
18,7
19,5
21,3
23,2
23,5
40,3
45,2
49,7
53,2
55,3
55,5
62,6
73,2
91,5
91,6
91,7
96,1
106,3
107,5
113,5
114,6
117,5
117,6
122,3
127,3
129,2
129,3
130,2
131,2
142,5
142,6
146,7
150,5
150,6
157,5
157,6
158,2
160,5
165,3
171,2
171,6
177,3
177,6
177,7
180,3
180,7
185,2
195,6
201,2
201,5
209,6
217,7
219,6
233,3
243,2
245,5
258,2
262,6
262,7
264,6
271,2
275,5
277,6
278,5
288,5
288,7
292,5
300,1
300,5
301,5
302,3
310,3
310,5
311,3
315,3
322,2
331,2
333,5
338,5
341,1
342,7
352,3
353,1
353,2
355,5
363,7
367,2
369,3
372,2
379,7
389,5
390,7
396,3
403,5
406,2
408,5
409,2
413,5
415,1
427,5
445,2
448,4
450,2
450,6
456,2
457,2
457,6
467,6
470,7
472,2
472,3
472,5
478,5
480,2
491,5
499,2
501,3
502,5
502,6
506,2
509,5
517,3
520,3
521,3
522,2
523,3
527,3
537,3
543,2
545,3
552,2
552,3
555,3
556,1
556,2
561,1
561,2
561,7
563,1
563,2
566,2
566,3
567,3
579,2
580,5
582,2
585,6
587,2
590,5
593,2
601,3
604,2
606,3
616,6
620,5
623,2
624,5
625,2
628,3
630,5
630,6
630,7
631,5
639,2
650,5
656,2
658,2
662,7
665,5
668,2
673,6
673,7
682,2
682,3
683,2
683,3
685,3
687,6
700,3
704,7
707,2
711,3
715,5
716,3
720,6
730,1
730,3
731,3
741,5
744,5
749,5
750,2
752,2
761,2
763,2
763,3
768,1
782,3
784,2
787,1
792,5
793,6
794,6
797,2
797,3
803,5
813,2
814,3
821,3
828,1
829,1
829,6
829,7
831,5
832,2
832,7
839,3
848,1
857,5
859,3
859,6
869,2
873,2
875,2
880,3
882,3
892,5
900,2
905,3
909,3
910,2
910,3
913,5
919,3
921,2
932,3
935,3
942,3
942,5
942,6
947,2
953,2
964,2
969,1
976,4
980,5
980,6
986,6
990,6
992,3
994,2
998,2
999,5
1002,6
1003,3
1006,2
1006,3
1008,2
1017,1
1024,7
1026,5
1029,5
1033,2
1033,5
1040,5
1043,3
1043,5
1044,1
1044,2
1045,2
1046,5
1049,2
1065,5
1072,3
1080,3
1085,2
1090,2
1092,2
1092,3
1097,6
1097,7
1101,2
1109,1
1111,3
1115,2
1115,3
1120,6
1120,7
1121,2
1133,7
1140,5
1140,6
1143,6
1151,2
1152,5
1152,6
1154,3
1159,5
1161,6
1161,7
1163,5
1169,7
1171,3
1173,1
1174,6
1177,2
1178,5
1180,2
1180,3
1190,5
1190,6
1193,2
1194,1
1194,7
1195,2
1199,2
1205,2
1205,7
1211,2
1220,2
1220,7
1230,3
1234,2
1234,3
1235,3
1250,3
1258,2
1266,2
1266,7
1270,1
1279,2
1280,1
1280,2
1282,1
1282,7
1284,2
1297,3
1297,7
1298,2
1300,3
1303,6
1303,7
1307,2
1308,2
1311,5
1317,3
1317,5
1324,2
1338,1
1338,6
1342,2
1347,5
1350,3
1350,6
1354,3
1358,3
1361,2
1363,5
1364,3
1366,2
1366,3
1370,6
1372,2
1374,3
1416,1
1416,3
1416,6
1416,7
1417,2
1417,3
1420,5
1428,5
1431,2
1431,6
1431,7
1432,1
1432,2
1434,2
1434,3
1437,2
1446,2
1446,7
1449,1
1449,5
1449,6
1459,1
1462,2
1462,3
1463,2
1463,3
1463,6
1465,2
1468,3
1470,2
1471,1
1473,3
1476,1
1476,2
1476,3
1483,2
1483,5
1484,6
1499,5
1502,3
1502,7
1504,4
1505,4
1506,4
1508,2
1508,4
1512,4
1512,5
1513,3
1513,4
1518,4
1519,3
1519,5
1524,2
1524,3
1524,4
1524,5
1531,4
1538,2
1542,2
1545,4
1546,4
1548,3
1549,4
1550,5
1552,4
1555,5
1559,4
1559,5
1568,2
1569,1
1569,7
1576,3
1581,5
1582,2
1583,4
1588,5
1591,5
1591,6
1595,4
1598,2
1598,4
1599,4
1603,2
1611,5
1612,2
1612,5
1612,7
1616,1
1616,5
1620,5
1623,2
1626,2
1626,4
1636,3
1636,4
1639,4
1647,4
1649,4
1652,2
1652,4
1655,2
1657,6
1659,7
1660,4
1666,4
1667,1
1669,1
1671,4
1677,2
1679,4
1679,7
1681,5
1685,4
1686,2
1686,5
1687,5
1690,2
1690,5
1691,2
1692,2
1695,4
1700,2
1705,5
1707,2
1707,4
1711,4
1712,5
1713,5
1713,6
1714,5
1715,1
1733,3
1733,4
1733,5
1739,2
1742,7
1745,2
1748,4
1750,4
1751,5
1751,7
1752,4
1754,5
1757,1
1757,4
1757,5
1758,1
1765,4
1766,2
1767,2
1769,2
1772,4
1776,5
1777,5
1777,6
1777,7
1778,4
1782,2
1785,5
1786,3
1786,4
1789,5
1790,4
1794,4
1795,4
1797,4
1801,4
1802,2
1802,4
1807,4
1807,6
1808,5
1809,3
1809,5
1812,4
1814,2
1815,4
1815,7
1822,2
1822,3
1823,6
1824,5
1827,5
1827,6
1828,5
1833,5
1834,7
1836,1
1836,4
1837,2
1839,4
1840,4
1842,5
1847,4
1850,4
1850,5
1851,7
1854,2
1856,2
1856,7
1858,2
1860,4
1870,2
1870,4
1873,4
1874,4
1875,2
1875,6
1876,5
1877,5
1880,4
1881,1
1884,2
1885,2
1886,7
1887,6
1888,4
1902,4
1903,2
1917,2
1919,2
1919,7
1920,2
1921,4
1924,6
1931,4
1931,5
1936,1
1937,4
1940,2
1940,4
1942,2
1942,5
1942,7
1946,2
1955,2
1955,7
1961,4
1963,7
1969,2
1971,4
1972,5
1974,4
1976,4
1978,2
1978,4
1979,5
1994,4
2000,4
2000,5
2002,4
2003,4
2006,4
2006,5
2007,2
2014,4
2017,4
2020,4
2021,5
2025,4
2031,2
2031,4
2037,5
2038,4
2040,4
2040,7
2041,2
2041,4
2041,7
2042,5
2044,6
2045,4
2046,4
2048,2
2051,4
2052,5
2057,4
2065,5
2067,2
2072,5
2073,3
