source,target
8,2
8,5
9,1
12,5
18,3
19,1
20,1
20,5
23,7
25,1
26,2
27,1
27,2
28,5
29,1
34,5
36,2
36,3
37,2
39,3
40,1
54,1
55,3
58,1
60,1
61,6
63,3
65,2
67,2
67,7
70,1
72,1
72,3
72,7
77,3
83,1
83,2
83,3
83,6
83,7
85,1
86,1
86,5
86,6
99,5
101,3
103,7
104,1
106,6
108,2
109,3
113,3
115,1
115,3
116,2
122,1
124,1
124,5
124,7
127,1
127,3
133,1
133,3
135,2
139,2
139,7
140,1
140,3
141,3
141,7
143,1
143,2
145,1
146,1
146,5
146,7
154,7
155,2
155,5
164,1
164,3
164,6
167,3
168,3
169,1
173,2
173,6
179,1
179,2
181,3
188,1
188,2
189,1
191,6
195,2
198,1
198,2
201,2
201,3
203,1
203,2
203,7
204,1
204,2
207,1
211,3
214,7
218,5
221,1
223,1
227,1
231,3
237,2
237,7
238,1
238,5
239,1
239,2
241,7
242,1
242,7
243,1
244,2
244,6
245,1
246,5
254,1
254,6
254,7
256,1
257,1
257,5
257,6
258,1
262,6
266,6
266,7
269,5
272,6
274,1
276,2
277,1
277,2
277,6
277,7
282,1
282,2
282,5
282,6
282,7
283,5
287,3
289,1
289,6
290,1
292,1
292,7
294,2
299,1
304,3
307,5
308,1
310,6
312,6
314,1
314,2
314,3
316,1
319,5
321,1
321,2
321,3
327,1
327,5
332,1
334,1
334,2
334,6
337,1
338,1
338,2
340,1
342,3
346,2
359,5
361,2
362,1
363,1
363,2
363,4
365,2
369,2
369,3
369,6
369,7
375,1
375,5
377,2
377,3
384,3
384,5
389,1
389,2
389,3
390,3
396,1
396,7
400,1
401,1
401,2
402,5
406,1
406,2
406,6
411,3
415,2
415,3
418,1
418,3
420,3
424,5
426,3
427,2
430,3
431,2
437,7
439,1
439,2
440,4
442,1
443,7
445,7
446,1
446,5
447,1
447,2
447,3
450,1
450,3
456,1
471,2
474,2
475,6
477,1
477,2
481,1
487,6
489,1
489,2
491,2
492,2
493,2
494,6
497,1
497,2
498,2
504,1
507,1
507,3
510,1
510,2
511,1
514,1
514,2
516,7
522,1
522,3
525,1
526,2
532,3
532,5
532,6
534,1
534,6
534,7
535,1
537,1
537,3
538,6
539,2
542,3
544,6
544,7
545,1
545,2
545,3
545,5
548,1
548,2
552,5
554,1
554,7
555,1
555,5
556,1
556,2
558,1
560,1
560,2
560,6
560,7
561,3
563,3
565,1
566,6
567,1
568,1
570,1
573,3
574,3
574,7
576,2
579,1
579,2
581,2
585,3
585,5
586,1
586,3
587,1
592,2
595,5
596,1
596,3
597,1
598,1
598,2
602,1
602,2
602,7
607,1
607,3
608,1
608,2
615,1
617,1
617,2
617,4
618,2
620,3
621,3
622,1
624,5
628,2
629,1
629,3
629,7
631,1
631,2
632,3
637,2
637,3
640,6
641,3
643,3
644,1
644,2
644,3
644,5
645,2
646,1
648,1
648,6
649,2
649,3
654,1
654,3
654,7
658,3
658,5
658,6
658,7
660,5
661,1
662,1
663,1
663,2
663,3
663,5
667,3
668,1
669,1
670,1
670,2
670,3
671,1
676,1
679,1
682,5
683,3
684,3
684,6
685,7
688,2
689,1
689,3
692,1
692,3
695,2
695,6
695,7
703,3
704,1
706,1
706,2
708,1
708,2
709,1
712,1
712,3
716,1
716,2
717,1
717,3
719,5
722,6
723,2
725,3
725,5
725,6
726,2
727,1
729,3
730,1
732,1
734,1
734,3
735,1
737,2
737,3
739,3
739,6
740,1
742,1
742,3
743,1
743,3
744,1
744,3
745,1
745,2
745,3
746,1
749,1
749,7
751,1
752,1
754,1
754,3
756,1
761,2
761,3
762,1
762,3
763,1
763,3
764,1
764,2
765,3
766,3
768,7
769,1
770,3
772,1
772,5
772,6
773,1
773,2
773,6
775,1
775,2
776,1
777,1
779,1
779,3
781,5
783,7
784,1
788,1
789,1
791,1
792,1
792,3
793,1
793,2
794,1
794,3
795,5
796,1
797,1
797,2
797,3
799,1
800,1
800,3
801,2
802,1
802,2
807,1
808,1
808,7
810,1
813,3
816,1
817,1
817,3
819,2
819,3
820,2
820,7
822,1
823,5
824,2
824,3
829,5
835,3
835,7
836,5
837,3
837,6
838,1
841,1
841,3
842,1
843,3
844,1
845,1
846,2
848,5
848,6
848,7
853,1
853,3
857,1
858,2
858,5
859,7
861,5
861,6
862,3
864,7
867,1
867,2
867,6
869,3
871,1
875,3
876,1
876,3
877,3
880,1
885,3
887,2
887,6
893,1
895,1
895,2
895,4
896,3
897,2
897,5
898,1
898,2
898,7
899,1
899,3
901,1
901,3
903,1
905,2
905,3
906,1
909,1
910,1
910,3
912,1
913,1
914,2
915,1
916,1
918,2
920,6
921,2
923,5
926,6
927,3
928,1
928,3
928,7
929,2
930,1
932,1
932,2
932,6
932,7
933,1
934,3
940,1
949,1
950,1
950,2
952,1
952,2
952,3
956,1
956,3
957,5
957,6
958,3
961,2
962,3
963,1
965,1
967,1
967,2
967,5
968,6
968,7
970,1
970,7
971,5
973,3
974,3
976,1
976,3
977,2
978,1
978,2
978,3
979,5
981,1
981,3
982,1
982,2
982,7
986,5
986,6
986,7
988,5
989,5
989,6
991,1
991,2
991,6
992,2
992,3
996,2
997,2
